,0,1,2,3,4,5,6,7,8,9,10,11,12
25,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F4:74_-80,,,,,,,,,
26,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,,,,,,,,,,
27,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,,,,,,,,,
28,6C:EC:EB:1F:F6:26_-73,6C:EC:EB:1F:F6:24_-69,,,,,,,,,,,
29,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,,,,,,,,,
30,6C:EC:EB:1F:FD:83_-62,6C:EC:EB:1F:FD:83_-62,6C:EC:EB:1F:FD:83_-62,6C:EC:EB:1F:FD:83_-62,6C:EC:EB:1F:FD:83_-62,6C:EC:EB:1F:FD:83_-62,,,,,,,
31,6C:EC:EB:1F:F4:74_-66,,,,,,,,,,,,
32,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,
33,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:65_-76,,,,,,,,,
34,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,,,,,,,,,
35,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:FD:83_-82,,,,,,,,,,,
36,6C:EC:EB:1F:F6:26_-76,6C:EC:EB:1F:F4:74_-83,6C:EC:EB:1F:F4:46_-82,,,,,,,,,,
37,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:24_-76,,,,,,,,,,
38,,,,,,,,,,,,,
39,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,,,,,,,,
40,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F4:46_-77,,,,,,,,,,
41,BC:6A:29:BE:2F:76_-89,BC:6A:29:BE:2F:76_-89,BC:6A:29:BE:2F:76_-89,,,,,,,,,,
42,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:2B:90_-63,,,,,,,,,,
43,6C:EC:EB:1F:F6:76_-88,,,,,,,,,,,,
44,6C:EC:EB:1F:F6:15_-86,6C:EC:EB:1F:F6:24_-91,,,,,,,,,,,
45,7C:66:9D:7B:2B:90_-82,7C:66:9D:7B:2B:90_-82,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:90_-82,7C:66:9D:7B:29:FB_-80,,,,,,,,
46,7C:66:9D:7B:29:FB_-68,7C:66:9D:7B:29:FB_-68,,,,,,,,,,,
47,7C:66:9D:7B:2B:9F_-71,,,,,,,,,,,,
48,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:F4:74_-76,,,,,,,,,,
49,BC:6A:29:BE:2F:76_-68,BC:6A:29:BE:2F:76_-63,BC:6A:29:BE:2F:76_-68,BC:6A:29:BE:2F:76_-68,BC:6A:29:BE:2F:76_-68,7C:66:9D:7B:2D:4A_-76,,,,,,,
50,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:29:FB_-82,,,,,,,,,,,
51,6C:EC:EB:1F:F6:26_-83,,,,,,,,,,,,
52,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:FD:83_-83,BC:6A:29:BE:31:57_-72,6C:EC:EB:1F:F6:55_-80,,,,,,,,,
53,6C:EC:EB:1F:F6:24_-76,BC:6A:29:BE:2F:23_-61,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,BC:6A:29:BE:2F:23_-62,6C:EC:EB:1F:F4:74_-88,BC:6A:29:BE:2F:23_-62,,,,
54,BC:6A:29:BE:31:57_-84,BC:6A:29:BE:31:57_-84,BC:6A:29:BE:31:57_-84,BC:6A:29:BE:31:57_-84,,,,,,,,,
55,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,6C:EC:EB:1F:F6:65_-81,BC:6A:29:BE:2F:23_-73,,,,,,,,
56,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-73,6C:EC:EB:1F:FD:83_-79,,,,
57,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,BC:6A:29:BE:2F:23_-78,,,,,,,,
58,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,,,,,,,,,
59,7C:66:9D:7B:2B:90_-70,7C:66:9D:7B:2B:90_-70,7C:66:9D:7B:2B:90_-70,7C:66:9D:7B:2B:90_-70,7C:66:9D:7B:29:FB_-80,,,,,,,,
60,BC:6A:29:BE:31:57_-88,BC:6A:29:BE:31:57_-88,BC:6A:29:BE:31:57_-88,BC:6A:29:BE:31:57_-88,,,,,,,,,
61,7C:66:9D:7B:29:FA_-80,BC:6A:29:BE:2F:76_-92,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,,,,,,,,
62,7C:66:9D:7B:2B:90_-90,,,,,,,,,,,,
63,7C:66:9D:7B:29:FA_-70,BC:6A:29:BE:31:57_-74,7C:66:9D:7B:29:FA_-70,7C:66:9D:7B:29:FA_-70,,,,,,,,,
64,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,,,,,,
65,,,,,,,,,,,,,
66,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,,,,,,,,
67,6C:EC:EB:1F:F6:15_-86,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,,,,,,,
68,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-71,,,,,,,,,,,
69,6C:EC:EB:1F:F4:74_-66,6C:EC:EB:1F:F4:74_-66,6C:EC:EB:1F:F4:74_-66,,,,,,,,,,
70,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:FD:83_-70,,,,,,,,,
71,7C:66:9D:7B:2B:90_-71,BC:6A:29:BE:31:57_-87,7C:66:9D:7B:2B:90_-71,BC:6A:29:BE:31:57_-72,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,,,
72,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,,,,,,,,
73,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:26_-69,,,,,,,
74,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,,,,,,,,,,
75,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,,,,,,,,,,
76,7C:66:9D:7B:2B:9F_-74,,,,,,,,,,,,
77,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,
78,7C:66:9D:7B:2B:90_-92,6C:EC:EB:1F:F6:76_-78,,,,,,,,,,,
79,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F6:24_-87,6C:EC:EB:1F:F4:74_-80,,,,,,,,,
80,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,,,,,,,,,,,
81,6C:EC:EB:1F:F4:46_-84,6C:EC:EB:1F:F4:46_-84,6C:EC:EB:1F:F4:46_-84,6C:EC:EB:1F:F4:46_-84,6C:EC:EB:1F:F4:46_-84,,,,,,,,
82,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:90_-84,,,,,,,,,,,
83,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,,
84,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,,,,,,,,,,
85,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F4:74_-75,,,,,,,,,,
86,BC:6A:29:BE:2F:23_-70,BC:6A:29:BE:2F:23_-70,BC:6A:29:BE:2F:23_-70,7C:66:9D:7B:2B:90_-86,BC:6A:29:BE:2F:23_-70,,,,,,,,
87,7C:66:9D:7B:29:FB_-68,7C:66:9D:7B:29:FB_-68,6C:EC:EB:1F:F6:76_-87,7C:66:9D:7B:29:FB_-68,,,,,,,,,
88,7C:66:9D:7B:2D:4A_-82,7C:66:9D:7B:2D:4A_-82,7C:66:9D:7B:2D:4A_-82,,,,,,,,,,
89,7C:66:9D:7B:29:FB_-80,6C:EC:EB:1F:F6:65_-75,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:2B:90_-82,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,,,,,,,
90,BC:6A:29:BE:2F:23_-80,,,,,,,,,,,,
91,6C:EC:EB:1F:F4:46_-84,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,,,,,,,,,
92,,,,,,,,,,,,,
93,BC:6A:29:BE:2F:23_-65,6C:EC:EB:1F:F4:74_-77,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,,,,,,,,
94,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-75,,,,,,,,,
95,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,,,,,,,,
96,6C:EC:EB:1F:F4:74_-78,6C:EC:EB:1F:FD:83_-77,6C:EC:EB:1F:F4:74_-78,,,,,,,,,,
97,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,,,,,,,,
98,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:76_-76,,,,,,,,,,
99,BC:6A:29:BE:31:57_-65,BC:6A:29:BE:31:57_-65,BC:6A:29:BE:31:57_-65,BC:6A:29:BE:2F:76_-76,BC:6A:29:BE:31:57_-65,BC:6A:29:BE:31:57_-65,,,,,,,
100,BC:6A:29:BE:2F:23_-86,,,,,,,,,,,,
101,7C:66:9D:7B:29:FB_-88,6C:EC:EB:1F:FD:83_-66,7C:66:9D:7B:29:FB_-88,7C:66:9D:7B:29:FB_-87,7C:66:9D:7B:29:FB_-88,,,,,,,,
102,,,,,,,,,,,,,
103,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,,,,,,,,,
104,6C:EC:EB:1F:F4:74_-88,,,,,,,,,,,,
105,6C:EC:EB:1F:F6:15_-86,,,,,,,,,,,,
106,BC:6A:29:BE:31:57_-72,6C:EC:EB:1F:FB:C7_-86,BC:6A:29:BE:31:57_-72,,,,,,,,,,
107,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:FD:83_-73,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,,,,,,,,,
108,6C:EC:EB:1F:F6:76_-86,6C:EC:EB:1F:F6:76_-86,,,,,,,,,,,
109,7C:66:9D:7B:2D:4A_-64,7C:66:9D:7B:2D:4A_-64,,,,,,,,,,,
110,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:74_-74,,,,,,,,
111,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,,,,,,,,,,,
112,6C:EC:EB:1F:F4:74_-77,7C:66:9D:7B:29:FB_-80,6C:EC:EB:1F:FD:83_-61,6C:EC:EB:1F:FD:83_-61,6C:EC:EB:1F:F4:46_-77,,,,,,,,
113,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:74_-61,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,,,,,,,,
114,7C:66:9D:7B:2B:9F_-82,7C:66:9D:7B:2B:9F_-82,7C:66:9D:7B:2B:9F_-82,,,,,,,,,,
115,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FA_-75,,,,,,,,,
116,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,,,,,,,,,,
117,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,,,,,,
118,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:76_-72,,,,,,,
119,BC:6A:29:BE:2F:76_-78,BC:6A:29:BE:2F:76_-66,BC:6A:29:BE:2F:76_-66,BC:6A:29:BE:2F:76_-66,BC:6A:29:BE:2F:76_-78,7C:66:9D:7B:29:FA_-69,,,,,,,
120,6C:EC:EB:1F:F6:76_-71,6C:EC:EB:1F:F6:76_-71,6C:EC:EB:1F:F6:76_-71,,,,,,,,,,
121,BC:6A:29:BE:31:57_-89,7C:66:9D:7B:29:FA_-88,7C:66:9D:7B:29:FA_-88,7C:66:9D:7B:29:FA_-88,,,,,,,,,
122,6C:EC:EB:1F:F4:74_-57,6C:EC:EB:1F:F4:74_-57,,,,,,,,,,,
123,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,,,,,,,,
124,7C:66:9D:7B:2D:4A_-66,7C:66:9D:7B:2D:4A_-66,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,7C:66:9D:7B:29:FA_-67,7C:66:9D:7B:29:FA_-67,,,,,,,,,,,
128,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-60,7C:66:9D:7B:2B:90_-67,,,,,,,,
129,6C:EC:EB:1F:FD:83_-70,,,,,,,,,,,,
130,6C:EC:EB:1F:F6:24_-86,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-68,6C:EC:EB:1F:F6:76_-85,,,,
131,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:24_-89,6C:EC:EB:1F:F6:55_-68,,,,,,,
132,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,,,,,,,,,,
133,,,,,,,,,,,,,
134,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F4:74_-69,,,,,,,
135,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F4:74_-79,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F6:24_-80,,,,,,,,
136,7C:66:9D:7B:29:FA_-80,,,,,,,,,,,,
137,7C:66:9D:7B:2B:90_-75,7C:66:9D:7B:2B:90_-75,7C:66:9D:7B:2B:90_-75,7C:66:9D:7B:2B:90_-75,7C:66:9D:7B:2B:90_-75,,,,,,,,
138,,,,,,,,,,,,,
139,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:F6:24_-68,,,,,,,,,
140,BC:6A:29:BE:2F:23_-83,BC:6A:29:BE:2F:23_-83,BC:6A:29:BE:2F:23_-83,,,,,,,,,,
141,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,6C:EC:EB:1F:FD:83_-78,,,,,,,,,,
142,7C:66:9D:7B:29:FA_-64,7C:66:9D:7B:29:FA_-64,,,,,,,,,,,
143,,,,,,,,,,,,,
144,BC:6A:29:BE:31:57_-94,6C:EC:EB:1F:F6:24_-91,BC:6A:29:BE:31:57_-94,BC:6A:29:BE:31:57_-94,,,,,,,,,
145,7C:66:9D:7B:2D:4A_-74,7C:66:9D:7B:2D:4A_-74,,,,,,,,,,,
146,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-78,BC:6A:29:BE:2F:76_-77,,,,,,,,
147,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-82,,,,,,,,,
148,6C:EC:EB:1F:F6:65_-81,6C:EC:EB:1F:F4:74_-61,6C:EC:EB:1F:F4:74_-61,6C:EC:EB:1F:F4:74_-57,,,,,,,,,
149,BC:6A:29:BE:2F:76_-76,7C:66:9D:7B:2B:90_-76,,,,,,,,,,,
150,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,,,,,,,,,,,
151,6C:EC:EB:1F:FD:9B_-72,6C:EC:EB:1F:FD:9B_-72,,,,,,,,,,,
152,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,6C:EC:EB:1F:F6:65_-70,,,,,,,,
153,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,,,,,,,,,
154,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,,,,,,,,
155,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:76_-76,6C:EC:EB:1F:F6:65_-79,6C:EC:EB:1F:F6:76_-76,,,,,,,
156,7C:66:9D:7B:29:FA_-74,,,,,,,,,,,,
157,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,,,,,,,,,
158,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,,,,,,,,,,,
159,7C:66:9D:7B:29:FA_-68,7C:66:9D:7B:29:FA_-68,,,,,,,,,,,
160,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,6C:EC:EB:1F:F6:26_-96,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,
161,6C:EC:EB:1F:FD:9B_-91,BC:6A:29:BE:31:57_-89,BC:6A:29:BE:31:57_-89,,,,,,,,,,
162,BC:6A:29:BE:31:57_-89,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,,,,,,,,
163,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:2D:4A_-70,,,,,,,,,,,
164,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,BC:6A:29:BE:31:57_-56,,,,,,,,
165,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,
166,6C:EC:EB:1F:F6:76_-86,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:76_-86,6C:EC:EB:1F:F6:26_-84,,,,,,,,,
167,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:29:FA_-74,,,,,,
168,6C:EC:EB:1F:F4:74_-86,6C:EC:EB:1F:F4:74_-86,,,,,,,,,,,
169,BC:6A:29:BE:31:57_-56,,,,,,,,,,,,
170,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:F6:24_-73,,,,,,,,,,
171,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:65_-76,,,,,,,,
172,,,,,,,,,,,,,
173,7C:66:9D:7B:2B:9F_-72,,,,,,,,,,,,
174,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,,,,,
175,6C:EC:EB:1F:F4:74_-79,6C:EC:EB:1F:F4:74_-79,6C:EC:EB:1F:F4:74_-79,,,,,,,,,,
176,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,,
177,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,7C:66:9D:7B:29:FB_-64,,,,,,,
178,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,BC:6A:29:BE:2F:23_-73,,,,,,,,,
