,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F6:65_-59,6C:EC:EB:1F:F6:26_-75,6C:EC:EB:1F:F6:24_-79,,,,,,,,,,,,
28,6C:EC:EB:1F:F6:55_-82,6C:EC:EB:1F:F6:55_-82,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F4:46_-79,,,,,,,,,,,,
29,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F6:26_-85,6C:EC:EB:1F:F6:76_-84,,,,,,,,,,,,
30,6C:EC:EB:1F:F6:76_-82,BC:6A:29:BE:2F:23_-78,6C:EC:EB:1F:F6:26_-76,6C:EC:EB:1F:F6:76_-80,7C:66:9D:7B:29:FB_-92,6C:EC:EB:1F:F4:46_-81,6C:EC:EB:1F:F6:76_-82,7C:66:9D:7B:29:FB_-90,6C:EC:EB:1F:F6:65_-78,,,,,,,
31,6C:EC:EB:1F:F4:74_-68,,,,,,,,,,,,,,,
32,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:2D:4A_-73,BC:6A:29:BE:2F:76_-71,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,,
33,6C:EC:EB:1F:F6:26_-85,7C:66:9D:7B:2B:90_-80,BC:6A:29:BE:2F:23_-79,,,,,,,,,,,,,
34,7C:66:9D:7B:2B:9F_-60,,,,,,,,,,,,,,,
35,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F4:46_-80,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:24_-86,,,,,,,,,,,,
36,6C:EC:EB:1F:F4:74_-82,BC:6A:29:BE:2F:23_-86,6C:EC:EB:1F:FD:83_-87,6C:EC:EB:1F:F6:76_-70,,,,,,,,,,,,
37,7C:66:9D:7B:29:FB_-88,,,,,,,,,,,,,,,
38,BC:6A:29:BE:2F:76_-61,,,,,,,,,,,,,,,
39,BC:6A:29:BE:2F:23_-80,6C:EC:EB:1F:FD:83_-85,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:F6:65_-87,,,,,,,,,,,,
40,7C:66:9D:7B:2B:9F_-83,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:24_-82,6C:EC:EB:1F:F6:76_-62,BC:6A:29:BE:2F:23_-81,6C:EC:EB:1F:F4:74_-87,,,,,,,,,,
41,7C:66:9D:7B:2B:90_-76,BC:6A:29:BE:2F:76_-88,BC:6A:29:BE:31:57_-63,6C:EC:EB:1F:F6:15_-92,,,,,,,,,,,,
42,6C:EC:EB:1F:F6:26_-88,BC:6A:29:BE:31:57_-74,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:F6:26_-86,,,,,,,,,,,,
43,6C:EC:EB:1F:F6:65_-90,6C:EC:EB:1F:F6:76_-85,,,,,,,,,,,,,,
44,6C:EC:EB:1F:F6:65_-95,6C:EC:EB:1F:F4:74_-66,,,,,,,,,,,,,,
45,7C:66:9D:7B:29:FB_-78,6C:EC:EB:1F:F6:65_-67,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-79,7C:66:9D:7B:2B:9F_-75,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:2B:9F_-75,,,,,,,,
46,7C:66:9D:7B:2B:90_-63,6C:EC:EB:1F:F6:76_-92,BC:6A:29:BE:2F:23_-83,7C:66:9D:7B:29:FB_-69,,,,,,,,,,,,
47,6C:EC:EB:1F:F6:24_-78,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:24_-76,,,,,,,,,,,,,
48,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F4:74_-75,7C:66:9D:7B:29:FB_-88,,,,,,,,,,,,,
49,BC:6A:29:BE:2F:76_-79,7C:66:9D:7B:2D:4A_-64,7C:66:9D:7B:2D:4A_-65,,,,,,,,,,,,,
50,7C:66:9D:7B:29:FB_-82,,,,,,,,,,,,,,,
51,6C:EC:EB:1F:FD:83_-75,6C:EC:EB:1F:F6:65_-77,,,,,,,,,,,,,,
52,6C:EC:EB:1F:FD:83_-80,6C:EC:EB:1F:F6:15_-81,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:F6:26_-79,BC:6A:29:BE:31:57_-86,6C:EC:EB:1F:F6:2D_-85,6C:EC:EB:1F:FD:83_-82,,,,,,,,,
53,7C:66:9D:7B:29:FB_-81,7C:66:9D:7B:29:FB_-73,BC:6A:29:BE:2F:23_-67,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:76_-90,,,,,,,,,,,
54,BC:6A:29:BE:31:57_-84,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FA_-87,,,,,,,,,,,
55,BC:6A:29:BE:2F:23_-81,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F6:65_-81,6C:EC:EB:1F:F6:24_-81,,,,,,,,,,,,
56,BC:6A:29:BE:2F:23_-68,6C:EC:EB:1F:F6:24_-86,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F4:46_-91,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:F6:76_-86,7C:66:9D:7B:29:FB_-72,,,,,,,,,
57,6C:EC:EB:1F:F4:74_-59,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:F4:74_-56,BC:6A:29:BE:2F:23_-78,,,,,,,,,,,,
58,BC:6A:29:BE:2F:23_-79,BC:6A:29:BE:2F:23_-80,,,,,,,,,,,,,,
59,7C:66:9D:7B:2B:90_-69,BC:6A:29:BE:2F:76_-85,BC:6A:29:BE:31:57_-59,6C:EC:EB:1F:F6:15_-91,,,,,,,,,,,,
60,BC:6A:29:BE:31:57_-90,7C:66:9D:7B:29:FA_-90,,,,,,,,,,,,,,
61,7C:66:9D:7B:2B:90_-66,6C:EC:EB:1F:F6:76_-93,6C:EC:EB:1F:F6:65_-93,6C:EC:EB:1F:F6:26_-74,7C:66:9D:7B:29:FA_-80,6C:EC:EB:1F:FD:83_-82,,,,,,,,,,
62,BC:6A:29:BE:31:57_-95,6C:EC:EB:1F:FD:9B_-93,6C:EC:EB:1F:FD:9B_-90,,,,,,,,,,,,,
63,BC:6A:29:BE:2F:76_-85,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,,
64,6C:EC:EB:1F:F6:76_-71,BC:6A:29:BE:2F:23_-66,6C:EC:EB:1F:F4:46_-71,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:29:FB_-73,6C:EC:EB:1F:F6:76_-71,BC:6A:29:BE:2F:23_-66,7C:66:9D:7B:29:FB_-74,6C:EC:EB:1F:F6:76_-71,,,,,,,
65,6C:EC:EB:1F:F4:46_-70,6C:EC:EB:1F:F4:74_-69,7C:66:9D:7B:2B:9F_-95,6C:EC:EB:1F:F4:74_-69,,,,,,,,,,,,
66,6C:EC:EB:1F:F6:26_-71,6C:EC:EB:1F:F6:26_-72,7C:66:9D:7B:2B:90_-80,,,,,,,,,,,,,
67,6C:EC:EB:1F:F6:55_-77,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:FD:9B_-88,6C:EC:EB:1F:F6:76_-90,7C:66:9D:7B:29:FB_-64,6C:EC:EB:1F:F4:46_-86,,,,,,,,,,
68,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F4:74_-71,6C:EC:EB:1F:F4:74_-73,,,,,,,,,,,,,
69,6C:EC:EB:1F:F6:65_-78,6C:EC:EB:1F:F6:76_-93,6C:EC:EB:1F:F4:46_-74,7C:66:9D:7B:29:FB_-96,,,,,,,,,,,,
70,6C:EC:EB:1F:F6:26_-79,6C:EC:EB:1F:FD:83_-74,BC:6A:29:BE:2F:23_-70,7C:66:9D:7B:2B:9F_-86,6C:EC:EB:1F:F6:65_-69,7C:66:9D:7B:2B:90_-84,,,,,,,,,,
71,7C:66:9D:7B:29:FA_-65,7C:66:9D:7B:29:FA_-65,6C:EC:EB:1F:F6:55_-96,,,,,,,,,,,,,
72,6C:EC:EB:1F:F6:65_-66,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:FD:83_-75,BC:6A:29:BE:2F:23_-71,7C:66:9D:7B:2B:90_-81,6C:EC:EB:1F:F6:24_-79,,,,,,,,,,
73,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:FD:83_-75,BC:6A:29:BE:2F:23_-74,6C:EC:EB:1F:F6:65_-78,7C:66:9D:7B:29:FB_-78,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:FD:83_-73,,,,,,,,
74,BC:6A:29:BE:2F:23_-85,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F4:46_-80,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F6:76_-84,BC:6A:29:BE:2F:23_-85,7C:66:9D:7B:2B:9F_-76,,,,,,,,,
75,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-74,BC:6A:29:BE:2F:76_-87,6C:EC:EB:1F:F6:26_-88,6C:EC:EB:1F:F4:74_-94,,,,,,,,,,,
76,7C:66:9D:7B:2B:90_-82,6C:EC:EB:1F:F4:46_-87,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F6:26_-79,7C:66:9D:7B:29:FB_-89,6C:EC:EB:1F:F6:76_-69,6C:EC:EB:1F:F6:26_-78,BC:6A:29:BE:2F:23_-74,,,,,,,,
77,6C:EC:EB:1F:F6:65_-75,6C:EC:EB:1F:F6:24_-81,6C:EC:EB:1F:F6:76_-77,7C:66:9D:7B:29:FB_-83,,,,,,,,,,,,
78,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F6:76_-76,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:2F:23_-77,7C:66:9D:7B:2B:9F_-75,BC:6A:29:BE:2F:23_-76,,,,,,,,,,
79,6C:EC:EB:1F:F6:26_-88,BC:6A:29:BE:2F:23_-80,6C:EC:EB:1F:F6:26_-89,6C:EC:EB:1F:F4:74_-81,,,,,,,,,,,,
80,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-75,,,,,,,,,,,,,
81,6C:EC:EB:1F:F4:74_-91,6C:EC:EB:1F:F6:65_-85,BC:6A:29:BE:2F:23_-57,6C:EC:EB:1F:F4:74_-90,,,,,,,,,,,,
82,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F6:55_-96,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F6:24_-77,,,,,,,,,,,,
83,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:2D:4A_-73,7C:66:9D:7B:2D:4A_-72,,,,,,,,,,,,,
84,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F6:65_-83,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F6:24_-87,7C:66:9D:7B:29:FB_-91,,,,,,,,,,
85,6C:EC:EB:1F:F4:74_-78,7C:66:9D:7B:2B:9F_-68,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F4:74_-78,7C:66:9D:7B:2B:9F_-76,,,,,,,,,,
86,6C:EC:EB:1F:F4:74_-85,6C:EC:EB:1F:F4:74_-85,6C:EC:EB:1F:FD:9B_-92,7C:66:9D:7B:2B:90_-86,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F4:74_-85,BC:6A:29:BE:2F:23_-70,,,,,,,,,
87,7C:66:9D:7B:29:FB_-67,7C:66:9D:7B:29:FA_-74,BC:6A:29:BE:2F:76_-84,7C:66:9D:7B:2B:90_-73,7C:66:9D:7B:29:FB_-67,7C:66:9D:7B:29:FA_-74,6C:EC:EB:1F:F6:76_-88,,,,,,,,,
88,7C:66:9D:7B:29:FB_-84,7C:66:9D:7B:29:FA_-61,7C:66:9D:7B:29:FB_-85,BC:6A:29:BE:31:57_-65,7C:66:9D:7B:29:FA_-61,,,,,,,,,,,
89,7C:66:9D:7B:2B:9F_-80,6C:EC:EB:1F:F4:46_-70,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:FD:83_-71,7C:66:9D:7B:2B:9F_-80,,,,,,,,,,,
90,6C:EC:EB:1F:F4:46_-69,,,,,,,,,,,,,,,
91,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F6:65_-84,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F6:65_-61,6C:EC:EB:1F:F6:65_-60,7C:66:9D:7B:2B:9F_-81,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:FD:83_-72,,,,,,,,
94,7C:66:9D:7B:2B:9F_-80,6C:EC:EB:1F:F6:76_-85,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F6:65_-78,BC:6A:29:BE:2F:23_-80,7C:66:9D:7B:2B:9F_-79,,,,,,,,,,
95,7C:66:9D:7B:2B:9F_-72,,,,,,,,,,,,,,,
96,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F6:65_-79,,,,,,,,,,,,,
97,6C:EC:EB:1F:FD:83_-68,7C:66:9D:7B:2B:9F_-88,7C:66:9D:7B:2B:90_-82,7C:66:9D:7B:29:FB_-81,6C:EC:EB:1F:F6:24_-74,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:F4:46_-89,7C:66:9D:7B:2B:9F_-89,6C:EC:EB:1F:F4:74_-77,6C:EC:EB:1F:F6:65_-70,,,,,,
98,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:FD:83_-80,6C:EC:EB:1F:F4:74_-66,7C:66:9D:7B:2B:9F_-67,6C:EC:EB:1F:F4:46_-77,,,,,,,,,,,
99,7C:66:9D:7B:2D:4A_-71,BC:6A:29:BE:31:57_-76,7C:66:9D:7B:2D:4A_-71,7C:66:9D:7B:2B:90_-72,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,6C:EC:EB:1F:F4:74_-72,6C:EC:EB:1F:F6:65_-64,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F6:24_-68,,,,,,,,,,,,
102,7C:66:9D:7B:29:FB_-83,6C:EC:EB:1F:F6:65_-72,BC:6A:29:BE:2F:23_-70,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,6C:EC:EB:1F:F6:76_-87,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:9B_-89,,,,,,,,,,,,
105,BC:6A:29:BE:31:57_-66,,,,,,,,,,,,,,,
106,7C:66:9D:7B:29:FB_-84,7C:66:9D:7B:2B:90_-90,,,,,,,,,,,,,,
107,6C:EC:EB:1F:F6:76_-62,7C:66:9D:7B:2B:9F_-83,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-82,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:FD:83_-72,,,,,,,,,,
108,7C:66:9D:7B:2B:9F_-77,,,,,,,,,,,,,,,
109,7C:66:9D:7B:29:FA_-67,7C:66:9D:7B:2D:4A_-63,,,,,,,,,,,,,,
110,6C:EC:EB:1F:F6:65_-92,6C:EC:EB:1F:F4:46_-70,BC:6A:29:BE:2F:23_-69,,,,,,,,,,,,,
111,7C:66:9D:7B:2B:90_-76,BC:6A:29:BE:31:57_-69,7C:66:9D:7B:2B:90_-76,,,,,,,,,,,,,
112,6C:EC:EB:1F:F6:55_-86,6C:EC:EB:1F:F4:46_-79,6C:EC:EB:1F:F6:65_-72,6C:EC:EB:1F:F6:76_-78,7C:66:9D:7B:2B:9F_-84,6C:EC:EB:1F:FD:83_-75,6C:EC:EB:1F:F6:24_-64,,,,,,,,,
113,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:74_-61,7C:66:9D:7B:2B:9F_-82,BC:6A:29:BE:2F:23_-86,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F6:24_-93,,,,,,,,,
114,6C:EC:EB:1F:F6:26_-86,6C:EC:EB:1F:F6:26_-86,6C:EC:EB:1F:F6:65_-77,,,,,,,,,,,,,
115,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:29:FB_-77,,,,,,,,,,,,
116,7C:66:9D:7B:2B:9F_-62,6C:EC:EB:1F:FD:83_-83,BC:6A:29:BE:2F:23_-70,,,,,,,,,,,,,
117,6C:EC:EB:1F:F6:15_-84,7C:66:9D:7B:29:FB_-82,BC:6A:29:BE:31:57_-59,7C:66:9D:7B:29:FB_-82,6C:EC:EB:1F:F6:55_-88,6C:EC:EB:1F:F6:15_-84,6C:EC:EB:1F:F6:2D_-97,,,,,,,,,
118,6C:EC:EB:1F:F6:24_-65,6C:EC:EB:1F:F6:65_-69,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:FD:83_-66,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F6:24_-64,,,,,,,,,,
119,7C:66:9D:7B:2B:90_-71,BC:6A:29:BE:31:57_-76,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:29:FB_-75,,,,,,,,,,,
120,6C:EC:EB:1F:F4:74_-78,6C:EC:EB:1F:F6:65_-80,7C:66:9D:7B:2B:9F_-70,,,,,,,,,,,,,
121,BC:6A:29:BE:2F:23_-84,,,,,,,,,,,,,,,
122,6C:EC:EB:1F:F6:24_-87,6C:EC:EB:1F:F4:46_-74,6C:EC:EB:1F:F6:24_-86,,,,,,,,,,,,,
123,7C:66:9D:7B:29:FA_-78,7C:66:9D:7B:2B:90_-63,BC:6A:29:BE:2F:23_-94,BC:6A:29:BE:31:57_-64,,,,,,,,,,,,
124,7C:66:9D:7B:2D:4A_-66,BC:6A:29:BE:2F:76_-59,,,,,,,,,,,,,,
125,BC:6A:29:BE:2F:23_-84,6C:EC:EB:1F:FD:83_-77,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:74_-83,6C:EC:EB:1F:F4:46_-80,7C:66:9D:7B:29:FB_-86,,,,,,,,,,
126,7C:66:9D:7B:29:FA_-90,,,,,,,,,,,,,,,
127,7C:66:9D:7B:29:FA_-67,,,,,,,,,,,,,,,
128,BC:6A:29:BE:2F:23_-91,,,,,,,,,,,,,,,
129,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:65_-74,6C:EC:EB:1F:FD:83_-73,6C:EC:EB:1F:F6:65_-74,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F6:24_-75,,,,,,,,,
130,6C:EC:EB:1F:FD:83_-72,,,,,,,,,,,,,,,
131,6C:EC:EB:1F:F6:15_-71,6C:EC:EB:1F:F6:24_-85,6C:EC:EB:1F:F6:15_-69,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:24_-89,7C:66:9D:7B:29:FA_-78,7C:66:9D:7B:2B:90_-64,,,,,,,,,
132,6C:EC:EB:1F:F6:26_-83,6C:EC:EB:1F:F4:46_-87,6C:EC:EB:1F:F6:55_-93,BC:6A:29:BE:2F:23_-72,6C:EC:EB:1F:FD:83_-69,,,,,,,,,,,
133,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,,,,,
134,7C:66:9D:7B:2B:9F_-70,6C:EC:EB:1F:F6:26_-91,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:74_-68,6C:EC:EB:1F:F6:26_-93,,,,,,,,,,,
135,BC:6A:29:BE:2F:23_-66,,,,,,,,,,,,,,,
136,6C:EC:EB:1F:F6:26_-73,6C:EC:EB:1F:F6:15_-78,7C:66:9D:7B:2B:90_-66,BC:6A:29:BE:31:57_-63,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:2B:90_-67,7C:66:9D:7B:2B:90_-66,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,BC:6A:29:BE:2F:76_-60,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:2D:4A_-65,,,,,,,,,,,,,
139,7C:66:9D:7B:29:FB_-78,6C:EC:EB:1F:F6:26_-84,BC:6A:29:BE:2F:23_-79,6C:EC:EB:1F:F6:76_-74,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:FD:83_-66,,,,,,,,,
140,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-77,6C:EC:EB:1F:F6:24_-97,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F6:24_-96,6C:EC:EB:1F:F6:76_-86,,,,,,,,,,
141,BC:6A:29:BE:2F:23_-73,7C:66:9D:7B:29:FB_-72,6C:EC:EB:1F:FD:83_-82,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,,,,,,,,,,,
142,7C:66:9D:7B:29:FA_-64,7C:66:9D:7B:2D:4A_-66,7C:66:9D:7B:29:FA_-64,,,,,,,,,,,,,
143,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,,,,,
144,7C:66:9D:7B:29:FA_-90,,,,,,,,,,,,,,,
145,BC:6A:29:BE:2F:76_-74,,,,,,,,,,,,,,,
146,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FB_-83,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:2B:90_-75,BC:6A:29:BE:2F:76_-78,,,,,,,,,,,
147,BC:6A:29:BE:2F:23_-94,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:F4:74_-63,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:F6:26_-83,6C:EC:EB:1F:F6:76_-86,6C:EC:EB:1F:F6:65_-90,6C:EC:EB:1F:F4:74_-63,,,,,,,,
148,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:FD:83_-84,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-84,,,,,,,,,,,,
149,7C:66:9D:7B:29:FA_-72,BC:6A:29:BE:2F:76_-76,BC:6A:29:BE:31:57_-72,,,,,,,,,,,,,
150,6C:EC:EB:1F:F6:26_-79,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:74_-73,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,6C:EC:EB:1F:F6:76_-83,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,6C:EC:EB:1F:F6:24_-82,6C:EC:EB:1F:FD:83_-77,6C:EC:EB:1F:F6:65_-84,BC:6A:29:BE:2F:23_-68,6C:EC:EB:1F:FD:83_-76,BC:6A:29:BE:2F:23_-68,,,,,,,,,,
155,6C:EC:EB:1F:F6:24_-85,6C:EC:EB:1F:F6:76_-77,7C:66:9D:7B:29:FB_-90,6C:EC:EB:1F:F6:24_-85,7C:66:9D:7B:29:FB_-89,,,,,,,,,,,
156,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-70,6C:EC:EB:1F:F6:26_-89,,,,,,,,,,,,,
157,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:26_-86,7C:66:9D:7B:2B:9F_-77,6C:EC:EB:1F:F6:24_-82,BC:6A:29:BE:2F:23_-82,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:24_-84,6C:EC:EB:1F:FD:83_-77,,,,,,,,
158,BC:6A:29:BE:31:57_-63,7C:66:9D:7B:29:FA_-62,BC:6A:29:BE:2F:76_-78,,,,,,,,,,,,,
159,7C:66:9D:7B:29:FA_-69,,,,,,,,,,,,,,,
