,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,BC:6A:29:BE:2F:76_-83,BC:6A:29:BE:2F:76_-83,BC:6A:29:BE:2F:76_-83,BC:6A:29:BE:2F:76_-83,BC:6A:29:BE:2F:76_-83,,,,,,,,,,
17,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-79,6C:EC:EB:1F:F6:24_-80,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-79,,,,,,,,
18,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,,,,,,,,,,,,,
19,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,,,
20,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,
21,BC:6A:29:BE:31:57_-59,,,,,,,,,,,,,,
22,BC:6A:29:BE:2F:23_-82,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,6C:EC:EB:1F:F6:26_-86,7C:66:9D:7B:2B:9F_-71,6C:EC:EB:1F:F4:46_-70,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,,,,,,,
23,BC:6A:29:BE:2F:76_-58,BC:6A:29:BE:2F:76_-58,BC:6A:29:BE:2F:76_-58,BC:6A:29:BE:2F:76_-58,,,,,,,,,,,
24,7C:66:9D:7B:29:FA_-61,BC:6A:29:BE:2F:76_-70,7C:66:9D:7B:29:FA_-61,7C:66:9D:7B:2D:4A_-71,,,,,,,,,,,
25,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,7C:66:9D:7B:2D:4A_-67,6C:EC:EB:1F:F4:46_-78,,,,,,,,,,,
26,BC:6A:29:BE:31:57_-74,BC:6A:29:BE:31:57_-74,,,,,,,,,,,,,
27,6C:EC:EB:1F:F6:65_-59,6C:EC:EB:1F:F6:65_-59,6C:EC:EB:1F:F6:65_-59,,,,,,,,,,,,
28,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F4:74_-82,6C:EC:EB:1F:F6:24_-70,6C:EC:EB:1F:F6:24_-70,,,,
29,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:65_-87,6C:EC:EB:1F:F6:65_-86,,,,,,,,,
30,6C:EC:EB:1F:F4:46_-88,6C:EC:EB:1F:FD:83_-77,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,6C:EC:EB:1F:F6:76_-80,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,,,
31,6C:EC:EB:1F:FD:83_-88,6C:EC:EB:1F:F6:76_-78,7C:66:9D:7B:29:FB_-91,,,,,,,,,,,,
32,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,,,,,,,,,,,,
33,6C:EC:EB:1F:F4:46_-79,,,,,,,,,,,,,,
34,7C:66:9D:7B:2B:9F_-62,7C:66:9D:7B:2B:9F_-62,7C:66:9D:7B:2B:9F_-62,7C:66:9D:7B:2B:9F_-62,,,,,,,,,,,
35,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,,,
36,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,,,,,,,
37,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,,,,,,,,,,,
38,BC:6A:29:BE:2F:76_-61,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,,,,,,,,,,,,
41,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,7C:66:9D:7B:2B:9F_-76,,,,,,,,,,,,,,
44,6C:EC:EB:1F:F6:76_-89,6C:EC:EB:1F:F6:76_-89,6C:EC:EB:1F:F6:76_-89,6C:EC:EB:1F:F6:76_-89,6C:EC:EB:1F:F6:65_-74,6C:EC:EB:1F:F6:76_-89,,,,,,,,,
45,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,,
46,BC:6A:29:BE:2F:76_-85,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-69,BC:6A:29:BE:31:57_-60,7C:66:9D:7B:29:FB_-69,,,,,,,,,,
47,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,6C:EC:EB:1F:F6:26_-90,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,,,,,,,
48,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,,,,,,,,,,
49,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,,,,,,,,,,,
50,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,,,,,,,,,,,,
51,6C:EC:EB:1F:F6:24_-82,,,,,,,,,,,,,,
52,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,,,,,,,,,
53,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,6C:EC:EB:1F:FD:83_-74,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,
54,6C:EC:EB:1F:FD:9B_-87,,,,,,,,,,,,,,
55,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,,,,,,,,
56,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,,,,,,,,,,
57,6C:EC:EB:1F:F6:2D_-80,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,,,,,,,,,,
58,6C:EC:EB:1F:F4:46_-74,6C:EC:EB:1F:F4:46_-73,7C:66:9D:7B:29:FB_-93,6C:EC:EB:1F:F4:46_-74,6C:EC:EB:1F:F4:46_-74,,,,,,,,,,
59,7C:66:9D:7B:2B:90_-69,,,,,,,,,,,,,,
60,7C:66:9D:7B:29:FB_-80,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:31:57_-90,,,,,,,,,,,
61,6C:EC:EB:1F:F6:24_-87,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:2F:76_-96,,,,,,,,
62,7C:66:9D:7B:2B:90_-91,7C:66:9D:7B:2B:90_-91,,,,,,,,,,,,,
63,BC:6A:29:BE:2F:76_-85,,,,,,,,,,,,,,
64,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,BC:6A:29:BE:2F:23_-65,,,,,,,,,,
65,6C:EC:EB:1F:F4:74_-70,,,,,,,,,,,,,,
66,6C:EC:EB:1F:FD:83_-70,7C:66:9D:7B:2B:90_-80,,,,,,,,,,,,,
67,6C:EC:EB:1F:F6:55_-77,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,,
68,6C:EC:EB:1F:F4:46_-69,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,,,,,,,,,,,,
69,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F4:74_-64,,,,,,,,
70,6C:EC:EB:1F:F6:26_-79,7C:66:9D:7B:2B:9F_-85,,,,,,,,,,,,,
71,7C:66:9D:7B:2D:4A_-94,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,,
72,6C:EC:EB:1F:F6:65_-66,6C:EC:EB:1F:F6:65_-66,6C:EC:EB:1F:F6:65_-66,6C:EC:EB:1F:F6:65_-66,6C:EC:EB:1F:F6:65_-66,,,,,,,,,,
73,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,,,,,,,
74,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F4:46_-79,,,,,,,,,,,,
75,7C:66:9D:7B:29:FB_-74,7C:66:9D:7B:2B:90_-68,BC:6A:29:BE:31:57_-57,7C:66:9D:7B:2B:90_-68,7C:66:9D:7B:2B:90_-68,,,,,,,,,,
76,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,7C:66:9D:7B:29:FB_-89,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,,,,,,,
77,6C:EC:EB:1F:F6:26_-76,6C:EC:EB:1F:F6:26_-76,,,,,,,,,,,,,
78,6C:EC:EB:1F:F4:74_-79,6C:EC:EB:1F:F6:65_-46,6C:EC:EB:1F:F6:65_-46,6C:EC:EB:1F:F6:65_-46,6C:EC:EB:1F:F6:65_-46,,,,,,,,,,
79,6C:EC:EB:1F:F6:76_-84,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,,,,,,,,,,,
80,6C:EC:EB:1F:F6:76_-68,7C:66:9D:7B:2B:9F_-73,6C:EC:EB:1F:F6:65_-63,6C:EC:EB:1F:F6:76_-68,,,,,,,,,,,
81,BC:6A:29:BE:2F:23_-57,BC:6A:29:BE:2F:23_-57,BC:6A:29:BE:2F:23_-57,BC:6A:29:BE:2F:23_-57,,,,,,,,,,,
82,6C:EC:EB:1F:F6:24_-78,6C:EC:EB:1F:F6:24_-78,,,,,,,,,,,,,
83,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,,,,,,,,,,,,,
84,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,,,,,,,,,
85,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,6C:EC:EB:1F:F6:26_-86,,,,,,,,,
86,6C:EC:EB:1F:F6:55_-84,6C:EC:EB:1F:F6:24_-78,BC:6A:29:BE:2F:23_-70,7C:66:9D:7B:29:FB_-71,7C:66:9D:7B:29:FB_-71,,,,,,,,,,
87,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,,,,
88,7C:66:9D:7B:29:FA_-61,,,,,,,,,,,,,,
89,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,BC:6A:29:BE:2F:23_-69,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,,,,,,,,,
90,6C:EC:EB:1F:F4:46_-69,6C:EC:EB:1F:F4:46_-69,,,,,,,,,,,,,
91,6C:EC:EB:1F:F6:24_-83,7C:66:9D:7B:2B:9F_-73,,,,,,,,,,,,,
92,7C:66:9D:7B:29:FB_-84,7C:66:9D:7B:29:FB_-84,7C:66:9D:7B:29:FB_-84,,,,,,,,,,,,
93,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:FD:83_-73,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,,,,,,,
94,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-78,,,,,,,,,,,
95,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,,,,
96,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,,,,,,,,,,
97,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,6C:EC:EB:1F:F6:65_-70,,,,,,,
98,7C:66:9D:7B:2B:9F_-66,7C:66:9D:7B:2B:9F_-66,7C:66:9D:7B:2B:9F_-66,6C:EC:EB:1F:FD:83_-84,7C:66:9D:7B:2B:9F_-66,7C:66:9D:7B:2B:9F_-66,7C:66:9D:7B:2B:9F_-66,7C:66:9D:7B:2B:9F_-67,,,,,,,
99,7C:66:9D:7B:2D:4A_-71,7C:66:9D:7B:2D:4A_-71,7C:66:9D:7B:2D:4A_-71,,,,,,,,,,,,
100,7C:66:9D:7B:29:FB_-76,,,,,,,,,,,,,,
101,6C:EC:EB:1F:F4:74_-72,,,,,,,,,,,,,,
102,6C:EC:EB:1F:F6:26_-78,6C:EC:EB:1F:F6:26_-78,6C:EC:EB:1F:F6:26_-78,6C:EC:EB:1F:F6:26_-78,,,,,,,,,,,
103,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:2F:76_-78,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,
104,6C:EC:EB:1F:F6:65_-81,7C:66:9D:7B:2B:9F_-72,,,,,,,,,,,,,
105,BC:6A:29:BE:31:57_-66,,,,,,,,,,,,,,
106,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FA_-75,,,,,,,,,,,,,
107,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,,,,,,,,,,
108,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:FD:83_-80,7C:66:9D:7B:2B:9F_-76,,,,,,,,,,,,
109,7C:66:9D:7B:2D:4A_-64,7C:66:9D:7B:2D:4A_-64,,,,,,,,,,,,,
110,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:46_-70,,,,,,,,,,,,,
111,BC:6A:29:BE:2F:76_-75,BC:6A:29:BE:2F:76_-75,BC:6A:29:BE:2F:76_-75,,,,,,,,,,,,
112,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,,,,,,,,,,,
113,6C:EC:EB:1F:F6:76_-88,6C:EC:EB:1F:F6:76_-88,6C:EC:EB:1F:F6:76_-88,6C:EC:EB:1F:F6:76_-88,,,,,,,,,,,
114,BC:6A:29:BE:2F:23_-83,,,,,,,,,,,,,,
115,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:2D:4A_-70,7C:66:9D:7B:2D:4A_-70,,,,,,,,,,
116,7C:66:9D:7B:2B:9F_-61,7C:66:9D:7B:2B:9F_-61,7C:66:9D:7B:2B:9F_-61,7C:66:9D:7B:2B:9F_-61,,,,,,,,,,,
117,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:2B:90_-63,,,,,,,,,,,
118,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:65_-68,,,,,,,,,,,
119,7C:66:9D:7B:2D:4A_-69,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,7C:66:9D:7B:2B:90_-71,,,,,,,,,,
120,6C:EC:EB:1F:F6:24_-87,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,,,,,,,,,
121,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,,,,,,,,,,,,
122,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:F4:74_-59,6C:EC:EB:1F:F6:76_-83,,,,,,,,,,,
123,7C:66:9D:7B:2B:90_-63,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,,,,,,,,,,,,
124,BC:6A:29:BE:2F:76_-60,,,,,,,,,,,,,,
125,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,,,,,,,,,,,,,
128,7C:66:9D:7B:29:FA_-86,7C:66:9D:7B:29:FA_-86,,,,,,,,,,,,,
129,6C:EC:EB:1F:F6:76_-73,6C:EC:EB:1F:F6:76_-73,6C:EC:EB:1F:F6:76_-73,6C:EC:EB:1F:F6:76_-72,,,,,,,,,,,
130,6C:EC:EB:1F:F4:74_-60,6C:EC:EB:1F:F4:74_-60,7C:66:9D:7B:2B:9F_-70,6C:EC:EB:1F:F4:74_-60,6C:EC:EB:1F:F4:74_-60,6C:EC:EB:1F:F4:74_-60,6C:EC:EB:1F:F4:74_-60,,,,,,,,
131,6C:EC:EB:1F:FD:83_-83,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,7C:66:9D:7B:29:FB_-67,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,6C:EC:EB:1F:F6:55_-71,,,,
132,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,BC:6A:29:BE:2F:23_-73,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,,,,,,,,,
133,7C:66:9D:7B:2D:4A_-59,BC:6A:29:BE:2F:76_-62,,,,,,,,,,,,,
134,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,,,,,,,,,
135,BC:6A:29:BE:2F:23_-66,6C:EC:EB:1F:F4:46_-70,7C:66:9D:7B:2B:9F_-69,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,,,,,,,,,,
136,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,6C:EC:EB:1F:F6:55_-69,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,BC:6A:29:BE:31:57_-63,,,,,
137,BC:6A:29:BE:2F:76_-80,BC:6A:29:BE:2F:76_-80,BC:6A:29:BE:2F:76_-80,,,,,,,,,,,,
138,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,
139,6C:EC:EB:1F:FD:83_-66,6C:EC:EB:1F:F6:24_-66,6C:EC:EB:1F:F6:76_-73,6C:EC:EB:1F:F6:24_-66,,,,,,,,,,,
140,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,,,
141,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,7C:66:9D:7B:2D:4A_-59,,,,,,,,,,,,,,
144,BC:6A:29:BE:31:57_-94,,,,,,,,,,,,,,
145,7C:66:9D:7B:2D:4A_-58,,,,,,,,,,,,,,
146,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,,
147,6C:EC:EB:1F:F6:65_-90,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,7C:66:9D:7B:2B:9F_-87,6C:EC:EB:1F:FD:83_-82,,,,,,,,,,
148,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:FD:83_-80,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:F4:74_-62,,,,,,,,,,,
149,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:29:FB_-82,,,,,,,,,,,
150,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F6:65_-62,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F6:65_-62,,,,,,,,,
151,,,,,,,,,,,,,,,
152,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:76_-80,,,,,,,,,
153,6C:EC:EB:1F:F6:76_-86,6C:EC:EB:1F:F4:74_-71,6C:EC:EB:1F:F6:76_-86,,,,,,,,,,,,
154,BC:6A:29:BE:2F:23_-65,,,,,,,,,,,,,,
155,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,7C:66:9D:7B:2B:9F_-70,,,,,,,,,
156,7C:66:9D:7B:29:FA_-76,7C:66:9D:7B:29:FA_-76,7C:66:9D:7B:29:FA_-76,7C:66:9D:7B:29:FA_-76,,,,,,,,,,,
157,BC:6A:29:BE:2F:23_-81,BC:6A:29:BE:2F:23_-81,BC:6A:29:BE:2F:23_-81,6C:EC:EB:1F:FD:83_-78,BC:6A:29:BE:2F:23_-81,BC:6A:29:BE:2F:23_-81,,,,,,,,,
